,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Debtor status
892,"less, than 0 DM",12,critical account/other credits existing (not at this bank),car (new),2171,"less, than 100 DM",between 1 & 4 years,4,male & single,none,4,building society savings agreement/life insurance,38,bank,own,2,unskilled & resident,1,none,no,good
893,between 0 & 200 DM,36,critical account/other credits existing (not at this bank),car (used),5800,"less, than 100 DM",between 1 & 4 years,3,male & single,none,4,"car or other, not in attribute 6",34,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
894,no checking account,18,critical account/other credits existing (not at this bank),radio/television,1169,unknown/no savings account,between 1 & 4 years,4,male & single,none,3,building society savings agreement/life insurance,29,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
895,no checking account,36,delay in paying off in the past,car (used),8947,unknown/no savings account,between 4 & 7 years,3,male & single,none,2,"car or other, not in attribute 6",31,stores,own,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,good
896,"less, than 0 DM",21,existing credits paid back duly till now,radio/television,2606,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
897,no checking account,12,critical account/other credits existing (not at this bank),furniture/equipment,1592,"more, than 1000 DM",between 4 & 7 years,3,female & divorced/separated/married,none,2,building society savings agreement/life insurance,35,none,own,1,skilled employee/official,1,none,no,good
898,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/no savings account,between 4 & 7 years,1,female & divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled & resident,1,none,yes,good
899,"less, than 0 DM",18,existing credits paid back duly till now,furniture/equipment,4153,"less, than 100 DM",between 1 & 4 years,2,male & single,co-applicant,3,"car or other, not in attribute 6",42,none,own,1,skilled employee/official,1,none,yes,bad
900,"less, than 0 DM",16,critical account/other credits existing (not at this bank),car (new),2625,"less, than 100 DM","more, than 7 years",2,male & single,guarantor,4,building society savings agreement/life insurance,43,bank,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
901,no checking account,20,critical account/other credits existing (not at this bank),car (new),3485,unknown/no savings account,"less, than 1 year",2,male & divorced/separated,none,4,real estate,44,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,good
902,no checking account,36,critical account/other credits existing (not at this bank),car (used),10477,unknown/no savings account,"more, than 7 years",2,male & single,none,4,unknown/no property,42,none,for free,2,skilled employee/official,1,none,yes,good
903,no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/no savings account,between 1 & 4 years,4,male & married/widowed,none,2,real estate,40,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
904,no checking account,24,existing credits paid back duly till now,radio/television,1278,"less, than 100 DM","more, than 7 years",4,male & single,none,1,real estate,36,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
905,"less, than 0 DM",12,existing credits paid back duly till now,radio/television,1107,"less, than 100 DM",between 1 & 4 years,2,male & single,none,2,real estate,20,none,rent,1,management/self-employed/highly qualified employee/officer,2,"yes, registered under the customers name",yes,good
906,"less, than 0 DM",21,existing credits paid back duly till now,car (new),3763,unknown/no savings account,between 4 & 7 years,2,male & single,co-applicant,2,real estate,24,none,own,1,unskilled & resident,1,none,no,good
907,between 0 & 200 DM,36,existing credits paid back duly till now,education,3711,unknown/no savings account,between 1 & 4 years,2,male & married/widowed,none,2,"car or other, not in attribute 6",27,none,own,1,skilled employee/official,1,none,yes,good
908,no checking account,15,delay in paying off in the past,car (used),3594,"less, than 100 DM","less, than 1 year",1,female & divorced/separated/married,none,2,building society savings agreement/life insurance,46,none,own,2,unskilled & resident,1,none,yes,good
909,between 0 & 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/no savings account,between 1 & 4 years,1,female & divorced/separated/married,none,2,real estate,33,none,own,1,unskilled & resident,1,none,yes,good
910,no checking account,36,delay in paying off in the past,radio/television,4454,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee/official,1,none,yes,good
911,between 0 & 200 DM,24,critical account/other credits existing (not at this bank),furniture/equipment,4736,"less, than 100 DM","less, than 1 year",2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",25,bank,own,1,unskilled & resident,1,none,yes,bad
912,between 0 & 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/no savings account,"more, than 7 years",2,female & divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee/official,1,none,yes,good
913,no checking account,11,existing credits paid back duly till now,business,2142,"more, than 1000 DM","more, than 7 years",1,male & divorced/separated,none,2,real estate,28,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,good
914,"less, than 0 DM",24,all credits at this bank paid back duly,business,3161,"less, than 100 DM",between 1 & 4 years,4,male & single,none,2,building society savings agreement/life insurance,31,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
915,between 0 & 200 DM,48,no credits taken/all credits paid back duly,others,18424,"less, than 100 DM",between 1 & 4 years,1,female & divorced/separated/married,none,2,building society savings agreement/life insurance,32,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",no,bad
916,no checking account,10,existing credits paid back duly till now,car (used),2848,between 100 & 500 DM,between 1 & 4 years,1,male & single,co-applicant,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,good
917,"less, than 0 DM",6,existing credits paid back duly till now,car (new),14896,"less, than 100 DM","more, than 7 years",1,male & single,none,4,unknown/no property,68,bank,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
918,"less, than 0 DM",24,existing credits paid back duly till now,furniture/equipment,2359,between 100 & 500 DM,unemployed,1,male & divorced/separated,none,1,building society savings agreement/life insurance,33,none,own,1,skilled employee/official,1,none,yes,bad
919,"less, than 0 DM",24,existing credits paid back duly till now,furniture/equipment,3345,"less, than 100 DM","more, than 7 years",4,male & single,none,2,building society savings agreement/life insurance,39,none,rent,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,bad
920,no checking account,18,critical account/other credits existing (not at this bank),furniture/equipment,1817,"less, than 100 DM",between 1 & 4 years,4,female & divorced/separated/married,none,2,unknown/no property,28,none,own,2,skilled employee/official,1,none,yes,good
921,no checking account,48,delay in paying off in the past,radio/television,12749,between 500 & 1000 DM,between 4 & 7 years,4,male & single,none,1,"car or other, not in attribute 6",37,none,own,1,management/self-employed/highly qualified employee/officer,1,"yes, registered under the customers name",yes,good
922,"less, than 0 DM",9,existing credits paid back duly till now,radio/television,1366,"less, than 100 DM","less, than 1 year",3,female & divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,none,yes,bad
923,between 0 & 200 DM,12,existing credits paid back duly till now,car (new),2002,"less, than 100 DM",between 4 & 7 years,3,male & single,none,4,building society savings agreement/life insurance,30,none,rent,1,skilled employee/official,2,"yes, registered under the customers name",yes,good
924,"less, than 0 DM",24,all credits at this bank paid back duly,furniture/equipment,6872,"less, than 100 DM","less, than 1 year",2,male & divorced/separated,none,1,building society savings agreement/life insurance,55,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,bad
925,"less, than 0 DM",12,all credits at this bank paid back duly,car (new),697,"less, than 100 DM","less, than 1 year",4,male & single,none,2,"car or other, not in attribute 6",46,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,bad
926,"less, than 0 DM",18,critical account/other credits existing (not at this bank),furniture/equipment,1049,"less, than 100 DM","less, than 1 year",4,female & divorced/separated/married,none,4,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,good
